============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: metatsf_mlp
  type: mlp
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: mlp
    hidden_mult: 2
    dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 192
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: metatsf_tuned

============================================================
Loaded data | train=36600 val=5079 test=10348
Built model: metatsf_mlp | params=172,888
  epoch 5 batch 1000/1143 loss=0.430394
  epoch 5 batch 1050/1143 loss=0.429866
  epoch 5 batch 1100/1143 loss=0.427783
Epoch 5 | train_loss=0.426147 val_mse=0.473673 val_mae=0.325919 (16.4s)
  EarlyStopping: 3/8
  epoch 6 batch 50/1143 loss=0.460325
  epoch 6 batch 100/1143 loss=0.429676
  epoch 6 batch 150/1143 loss=0.408897
  epoch 6 batch 200/1143 loss=0.422583
  epoch 6 batch 250/1143 loss=0.422975
  epoch 6 batch 300/1143 loss=0.423860
  epoch 6 batch 350/1143 loss=0.424258
  epoch 6 batch 400/1143 loss=0.425094
  epoch 6 batch 450/1143 loss=0.421894
  epoch 6 batch 500/1143 loss=0.422566
  epoch 6 batch 550/1143 loss=0.422159
  epoch 6 batch 600/1143 loss=0.423421
  epoch 6 batch 650/1143 loss=0.421111
  epoch 6 batch 700/1143 loss=0.419454
  epoch 6 batch 750/1143 loss=0.419550
  epoch 6 batch 800/1143 loss=0.419194
  epoch 6 batch 850/1143 loss=0.418845
  epoch 6 batch 900/1143 loss=0.416879
  epoch 6 batch 950/1143 loss=0.419570
  epoch 6 batch 1000/1143 loss=0.419569
  epoch 6 batch 1050/1143 loss=0.418337
  epoch 6 batch 1100/1143 loss=0.419153
Epoch 6 | train_loss=0.417863 val_mse=0.486606 val_mae=0.333947 (16.2s)
  EarlyStopping: 4/8
  epoch 7 batch 50/1143 loss=0.391729
  epoch 7 batch 100/1143 loss=0.392885
  epoch 7 batch 150/1143 loss=0.380761
  epoch 7 batch 200/1143 loss=0.392600
  epoch 7 batch 250/1143 loss=0.402825
  epoch 7 batch 300/1143 loss=0.409109
  epoch 7 batch 350/1143 loss=0.412170
  epoch 7 batch 400/1143 loss=0.409680
  epoch 7 batch 450/1143 loss=0.408568
  epoch 7 batch 500/1143 loss=0.406279
  epoch 7 batch 550/1143 loss=0.405548
  epoch 7 batch 600/1143 loss=0.405486
  epoch 7 batch 650/1143 loss=0.405404
  epoch 7 batch 700/1143 loss=0.404783
  epoch 7 batch 750/1143 loss=0.408141
  epoch 7 batch 800/1143 loss=0.406407
  epoch 7 batch 850/1143 loss=0.406104
  epoch 7 batch 900/1143 loss=0.408543
  epoch 7 batch 950/1143 loss=0.408368
  epoch 7 batch 1000/1143 loss=0.409115
  epoch 7 batch 1050/1143 loss=0.411495
  epoch 7 batch 1100/1143 loss=0.411291
Epoch 7 | train_loss=0.411211 val_mse=0.489371 val_mae=0.333240 (16.2s)
  EarlyStopping: 5/8
  epoch 8 batch 50/1143 loss=0.448692
  epoch 8 batch 100/1143 loss=0.409167
  epoch 8 batch 150/1143 loss=0.420750
  epoch 8 batch 200/1143 loss=0.419490
  epoch 8 batch 250/1143 loss=0.422264
  epoch 8 batch 300/1143 loss=0.418972
  epoch 8 batch 350/1143 loss=0.416752
  epoch 8 batch 400/1143 loss=0.415077
  epoch 8 batch 450/1143 loss=0.414559
  epoch 8 batch 500/1143 loss=0.414417
  epoch 8 batch 550/1143 loss=0.411540
  epoch 8 batch 600/1143 loss=0.411825
  epoch 8 batch 650/1143 loss=0.410854
  epoch 8 batch 700/1143 loss=0.411946
  epoch 8 batch 750/1143 loss=0.410741
  epoch 8 batch 800/1143 loss=0.410144
  epoch 8 batch 850/1143 loss=0.408090
  epoch 8 batch 900/1143 loss=0.408627
  epoch 8 batch 950/1143 loss=0.408482
  epoch 8 batch 1000/1143 loss=0.407379
  epoch 8 batch 1050/1143 loss=0.406964
  epoch 8 batch 1100/1143 loss=0.405760
Epoch 8 | train_loss=0.404196 val_mse=0.493981 val_mae=0.338101 (16.5s)
  EarlyStopping: 6/8
  epoch 9 batch 50/1143 loss=0.396633
  epoch 9 batch 100/1143 loss=0.386933
  epoch 9 batch 150/1143 loss=0.401870
  epoch 9 batch 200/1143 loss=0.384466
  epoch 9 batch 250/1143 loss=0.382720
  epoch 9 batch 300/1143 loss=0.392072
  epoch 9 batch 350/1143 loss=0.394203
  epoch 9 batch 400/1143 loss=0.391119
  epoch 9 batch 450/1143 loss=0.398562
  epoch 9 batch 500/1143 loss=0.402700
  epoch 9 batch 550/1143 loss=0.399692
  epoch 9 batch 600/1143 loss=0.397048
  epoch 9 batch 650/1143 loss=0.392284
  epoch 9 batch 700/1143 loss=0.391599
  epoch 9 batch 750/1143 loss=0.393988
  epoch 9 batch 800/1143 loss=0.393396
  epoch 9 batch 850/1143 loss=0.394961
  epoch 9 batch 900/1143 loss=0.395766
  epoch 9 batch 950/1143 loss=0.398916
