============================================================
data:
  name: ettm2
  root_path: data/ETT-small
  data_path: ETTm2.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: metatsf_attn
  type: transformer
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: attn
    n_heads: 4
    dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: metatsf_tuned

============================================================
Loaded data | train=34129 val=11185 test=11185
Built model: metatsf_attn | params=188,360
  EarlyStopping: 4/8
  epoch 6 batch 50/1066 loss=0.311108
  epoch 6 batch 100/1066 loss=0.305890
  epoch 6 batch 150/1066 loss=0.311227
  epoch 6 batch 200/1066 loss=0.313363
  epoch 6 batch 250/1066 loss=0.313566
  epoch 6 batch 300/1066 loss=0.315783
  epoch 6 batch 350/1066 loss=0.321240
  epoch 6 batch 400/1066 loss=0.321640
  epoch 6 batch 450/1066 loss=0.321307
  epoch 6 batch 500/1066 loss=0.318915
  epoch 6 batch 550/1066 loss=0.317877
  epoch 6 batch 600/1066 loss=0.317301
  epoch 6 batch 650/1066 loss=0.318139
  epoch 6 batch 700/1066 loss=0.317892
  epoch 6 batch 750/1066 loss=0.316254
  epoch 6 batch 800/1066 loss=0.317252
  epoch 6 batch 850/1066 loss=0.316970
  epoch 6 batch 900/1066 loss=0.316995
  epoch 6 batch 950/1066 loss=0.316687
  epoch 6 batch 1000/1066 loss=0.317155
  epoch 6 batch 1050/1066 loss=0.317131
Epoch 6 | train_loss=0.317159 val_mse=0.232477 val_mae=0.333752 (16.1s)
  EarlyStopping: 5/8
  epoch 7 batch 50/1066 loss=0.296227
  epoch 7 batch 100/1066 loss=0.299329
  epoch 7 batch 150/1066 loss=0.303450
  epoch 7 batch 200/1066 loss=0.298790
  epoch 7 batch 250/1066 loss=0.300452
  epoch 7 batch 300/1066 loss=0.301480
  epoch 7 batch 350/1066 loss=0.300664
  epoch 7 batch 400/1066 loss=0.302681
  epoch 7 batch 450/1066 loss=0.303911
  epoch 7 batch 500/1066 loss=0.304886
  epoch 7 batch 550/1066 loss=0.306444
  epoch 7 batch 600/1066 loss=0.307698
  epoch 7 batch 650/1066 loss=0.308957
  epoch 7 batch 700/1066 loss=0.309062
  epoch 7 batch 750/1066 loss=0.308343
  epoch 7 batch 800/1066 loss=0.307984
  epoch 7 batch 850/1066 loss=0.309690
  epoch 7 batch 900/1066 loss=0.309858
  epoch 7 batch 950/1066 loss=0.308886
  epoch 7 batch 1000/1066 loss=0.309011
  epoch 7 batch 1050/1066 loss=0.308410
Epoch 7 | train_loss=0.307986 val_mse=0.230527 val_mae=0.330856 (27.0s)
  EarlyStopping: 6/8
  epoch 8 batch 50/1066 loss=0.317204
  epoch 8 batch 100/1066 loss=0.300333
  epoch 8 batch 150/1066 loss=0.301839
  epoch 8 batch 200/1066 loss=0.311480
  epoch 8 batch 250/1066 loss=0.310500
  epoch 8 batch 300/1066 loss=0.313182
  epoch 8 batch 350/1066 loss=0.310133
  epoch 8 batch 400/1066 loss=0.308229
