============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: metatsf_vglg
  type: vglg
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: vglg
    kernel_size: 31
    rank: 8
    dropout: 0.1
    gate_hidden: 16
    gate_entropy_reg: 0.0
    gate_mode: fixed_0.5
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.0001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2022
device: cuda
project: vglg-tsf
run_name: null
tag: ablation_fixed_gate

============================================================
Loaded data | train=36456 val=4935 test=10204
Built model: metatsf_vglg | params=65,274
  epoch 1 batch 50/1139 loss=0.853273
  epoch 1 batch 100/1139 loss=0.820146
  epoch 1 batch 150/1139 loss=0.794122
  epoch 1 batch 200/1139 loss=0.774837
  epoch 1 batch 250/1139 loss=0.751579
  epoch 1 batch 300/1139 loss=0.740186
  epoch 1 batch 350/1139 loss=0.727078
  epoch 1 batch 400/1139 loss=0.716747
  epoch 1 batch 450/1139 loss=0.705201
  epoch 1 batch 500/1139 loss=0.695993
  epoch 1 batch 550/1139 loss=0.692507
  epoch 1 batch 600/1139 loss=0.685917
  epoch 1 batch 650/1139 loss=0.679119
  epoch 1 batch 700/1139 loss=0.674235
  epoch 1 batch 750/1139 loss=0.667881
  epoch 1 batch 800/1139 loss=0.664683
  epoch 1 batch 850/1139 loss=0.661338
  epoch 1 batch 900/1139 loss=0.657109
  epoch 1 batch 950/1139 loss=0.653372
  epoch 1 batch 1000/1139 loss=0.651061
  epoch 1 batch 1050/1139 loss=0.648165
  epoch 1 batch 1100/1139 loss=0.646909
Epoch 1 | train_loss=0.645732 val_mse=0.586187 val_mae=0.393708 (8.9s)
  Validation improved to 0.586187; saved checkpoint.
  epoch 2 batch 50/1139 loss=0.571145
  epoch 2 batch 100/1139 loss=0.570651
  epoch 2 batch 150/1139 loss=0.589227
  epoch 2 batch 200/1139 loss=0.585368
  epoch 2 batch 250/1139 loss=0.582609
  epoch 2 batch 300/1139 loss=0.580915
  epoch 2 batch 350/1139 loss=0.584302
  epoch 2 batch 400/1139 loss=0.580021
  epoch 2 batch 450/1139 loss=0.580987
  epoch 2 batch 500/1139 loss=0.580249
  epoch 2 batch 550/1139 loss=0.581402
  epoch 2 batch 600/1139 loss=0.579142
  epoch 2 batch 650/1139 loss=0.576259
  epoch 2 batch 700/1139 loss=0.577183
  epoch 2 batch 750/1139 loss=0.580686
  epoch 2 batch 800/1139 loss=0.583259
  epoch 2 batch 850/1139 loss=0.582263
  epoch 2 batch 900/1139 loss=0.582513
  epoch 2 batch 950/1139 loss=0.581376
