============================================================
data:
  name: ettm2
  root_path: data/ETT-small
  data_path: ETTm2.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: metatsf_attn
  type: transformer
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: attn
    n_heads: 4
    dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0001
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: metatsf_tuned3

============================================================
Loaded data | train=33745 val=10801 test=10801
Built model: metatsf_attn | params=237,896
  epoch 1 batch 50/1054 loss=0.607589
  epoch 1 batch 100/1054 loss=0.595916
  epoch 1 batch 150/1054 loss=0.589888
  epoch 1 batch 200/1054 loss=0.600884
  epoch 1 batch 250/1054 loss=0.592144
  epoch 1 batch 300/1054 loss=0.600704
  epoch 1 batch 350/1054 loss=0.589887
  epoch 1 batch 400/1054 loss=0.581018
  epoch 1 batch 450/1054 loss=0.590666
  epoch 1 batch 500/1054 loss=0.592540
  epoch 1 batch 550/1054 loss=0.589045
  epoch 1 batch 600/1054 loss=0.584122
  epoch 1 batch 650/1054 loss=0.582158
  epoch 1 batch 700/1054 loss=0.578409
  epoch 1 batch 750/1054 loss=0.579638
  epoch 1 batch 800/1054 loss=0.576612
  epoch 1 batch 850/1054 loss=0.578913
  epoch 1 batch 900/1054 loss=0.575423
  epoch 1 batch 950/1054 loss=0.572462
  epoch 1 batch 1000/1054 loss=0.570469
  epoch 1 batch 1050/1054 loss=0.568857
Epoch 1 | train_loss=0.569258 val_mse=0.283758 val_mae=0.366263 (17.9s)
  Validation improved to 0.283758; saved checkpoint.
  epoch 2 batch 50/1054 loss=0.492054
  epoch 2 batch 100/1054 loss=0.505535
  epoch 2 batch 150/1054 loss=0.522031
  epoch 2 batch 200/1054 loss=0.533557
  epoch 2 batch 250/1054 loss=0.517565
  epoch 2 batch 300/1054 loss=0.526404
  epoch 2 batch 350/1054 loss=0.525072
  epoch 2 batch 400/1054 loss=0.524302
  epoch 2 batch 450/1054 loss=0.519954
  epoch 2 batch 500/1054 loss=0.521304
  epoch 2 batch 550/1054 loss=0.517535
  epoch 2 batch 600/1054 loss=0.517628
  epoch 2 batch 650/1054 loss=0.515399
  epoch 2 batch 700/1054 loss=0.515699
  epoch 2 batch 750/1054 loss=0.515083
  epoch 2 batch 800/1054 loss=0.514261
