============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: itransformer
  type: transformer
  d_model: 256
  d_ff: 256
  e_layers: 2
  n_heads: 8
  factor: 1
  dropout: 0.1
  activation: gelu
  use_norm: 1
  output_attention: false
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.0005
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36072 val=4551 test=9820
Built model: itransformer | params=1,001,936
  epoch 5 batch 1000/1127 loss=0.632005
  epoch 5 batch 1050/1127 loss=0.631969
  epoch 5 batch 1100/1127 loss=0.632316
Epoch 5 | train_loss=0.632197 val_mse=0.726249 val_mae=0.476941 (10.3s)
  EarlyStopping: 1/3
  epoch 6 batch 50/1127 loss=0.626432
  epoch 6 batch 100/1127 loss=0.626747
  epoch 6 batch 150/1127 loss=0.634140
  epoch 6 batch 200/1127 loss=0.625824
  epoch 6 batch 250/1127 loss=0.624722
  epoch 6 batch 300/1127 loss=0.625231
  epoch 6 batch 350/1127 loss=0.624106
  epoch 6 batch 400/1127 loss=0.626198
  epoch 6 batch 450/1127 loss=0.624063
  epoch 6 batch 500/1127 loss=0.624616
  epoch 6 batch 550/1127 loss=0.626081
  epoch 6 batch 600/1127 loss=0.626722
  epoch 6 batch 650/1127 loss=0.625543
  epoch 6 batch 700/1127 loss=0.625607
  epoch 6 batch 750/1127 loss=0.624850
  epoch 6 batch 800/1127 loss=0.624172
  epoch 6 batch 850/1127 loss=0.625026
  epoch 6 batch 900/1127 loss=0.624310
  epoch 6 batch 950/1127 loss=0.624151
  epoch 6 batch 1000/1127 loss=0.624778
  epoch 6 batch 1050/1127 loss=0.625863
  epoch 6 batch 1100/1127 loss=0.625816
Epoch 6 | train_loss=0.626842 val_mse=0.727098 val_mae=0.476392 (10.2s)
  EarlyStopping: 2/3
  epoch 7 batch 50/1127 loss=0.621085
  epoch 7 batch 100/1127 loss=0.619350
  epoch 7 batch 150/1127 loss=0.617411
  epoch 7 batch 200/1127 loss=0.620762
  epoch 7 batch 250/1127 loss=0.624877
  epoch 7 batch 300/1127 loss=0.627456
  epoch 7 batch 350/1127 loss=0.626358
  epoch 7 batch 400/1127 loss=0.628270
  epoch 7 batch 450/1127 loss=0.627298
  epoch 7 batch 500/1127 loss=0.628513
  epoch 7 batch 550/1127 loss=0.628687
  epoch 7 batch 600/1127 loss=0.629108
  epoch 7 batch 650/1127 loss=0.628127
  epoch 7 batch 700/1127 loss=0.626523
  epoch 7 batch 750/1127 loss=0.624572
  epoch 7 batch 800/1127 loss=0.624688
  epoch 7 batch 850/1127 loss=0.624992
  epoch 7 batch 900/1127 loss=0.624426
  epoch 7 batch 950/1127 loss=0.624441
  epoch 7 batch 1000/1127 loss=0.623739
  epoch 7 batch 1050/1127 loss=0.624253
  epoch 7 batch 1100/1127 loss=0.624294
Epoch 7 | train_loss=0.624139 val_mse=0.730374 val_mae=0.477991 (10.1s)
  EarlyStopping: 3/3
Early stopping at epoch 7.

Test | mse=0.359311 mae=0.350665 rmse=0.599425
