============================================================
data:
  name: ettm2
  root_path: data/ETT-small
  data_path: ETTm2.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: timemixer
  type: mlp
  d_model: 16
  d_ff: 32
  e_layers: 2
  down_sampling_layers: 3
  down_sampling_window: 2
  down_sampling_method: avg
  decomp_method: moving_avg
  moving_avg: 25
  top_k: 5
  channel_independence: 1
  use_norm: 1
  dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 192
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 5
  learning_rate: 0.01
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=34273 val=11329 test=11329
Built model: timemixer | params=93,017
Epoch 5 | train_loss=0.304946 val_mse=0.170321 val_mae=0.282457 (20.0s)
  EarlyStopping: 1/5
  epoch 6 batch 50/1071 loss=0.285698
  epoch 6 batch 100/1071 loss=0.287331
  epoch 6 batch 150/1071 loss=0.291189
  epoch 6 batch 200/1071 loss=0.284852
  epoch 6 batch 250/1071 loss=0.287096
  epoch 6 batch 300/1071 loss=0.292280
  epoch 6 batch 350/1071 loss=0.293105
  epoch 6 batch 400/1071 loss=0.295757
  epoch 6 batch 450/1071 loss=0.293582
  epoch 6 batch 500/1071 loss=0.293693
  epoch 6 batch 550/1071 loss=0.297331
  epoch 6 batch 600/1071 loss=0.297801
  epoch 6 batch 650/1071 loss=0.297965
  epoch 6 batch 700/1071 loss=0.296067
  epoch 6 batch 750/1071 loss=0.295533
  epoch 6 batch 800/1071 loss=0.297767
  epoch 6 batch 850/1071 loss=0.298635
  epoch 6 batch 900/1071 loss=0.297604
  epoch 6 batch 950/1071 loss=0.296985
  epoch 6 batch 1000/1071 loss=0.299065
  epoch 6 batch 1050/1071 loss=0.298704
Epoch 6 | train_loss=0.298153 val_mse=0.173120 val_mae=0.285984 (20.2s)
  EarlyStopping: 2/5
  epoch 7 batch 50/1071 loss=0.281560
  epoch 7 batch 100/1071 loss=0.278040
  epoch 7 batch 150/1071 loss=0.277762
  epoch 7 batch 200/1071 loss=0.283223
  epoch 7 batch 250/1071 loss=0.289792
  epoch 7 batch 300/1071 loss=0.289163
  epoch 7 batch 350/1071 loss=0.288654
  epoch 7 batch 400/1071 loss=0.290594
  epoch 7 batch 450/1071 loss=0.291407
  epoch 7 batch 500/1071 loss=0.290683
  epoch 7 batch 550/1071 loss=0.290527
  epoch 7 batch 600/1071 loss=0.289206
  epoch 7 batch 650/1071 loss=0.290382
  epoch 7 batch 700/1071 loss=0.290177
  epoch 7 batch 750/1071 loss=0.289140
  epoch 7 batch 800/1071 loss=0.290008
  epoch 7 batch 850/1071 loss=0.289211
  epoch 7 batch 900/1071 loss=0.288483
  epoch 7 batch 950/1071 loss=0.289300
  epoch 7 batch 1000/1071 loss=0.291189
  epoch 7 batch 1050/1071 loss=0.290827
Epoch 7 | train_loss=0.291377 val_mse=0.176932 val_mae=0.289079 (20.1s)
  EarlyStopping: 3/5
  epoch 8 batch 50/1071 loss=0.273539
  epoch 8 batch 100/1071 loss=0.290270
  epoch 8 batch 150/1071 loss=0.289133
  epoch 8 batch 200/1071 loss=0.285279
  epoch 8 batch 250/1071 loss=0.285895
  epoch 8 batch 300/1071 loss=0.286247
  epoch 8 batch 350/1071 loss=0.284299
  epoch 8 batch 400/1071 loss=0.287352
  epoch 8 batch 450/1071 loss=0.286757
  epoch 8 batch 500/1071 loss=0.282917
  epoch 8 batch 550/1071 loss=0.282613
  epoch 8 batch 600/1071 loss=0.280776
  epoch 8 batch 650/1071 loss=0.281495
  epoch 8 batch 700/1071 loss=0.281798
  epoch 8 batch 750/1071 loss=0.282016
  epoch 8 batch 800/1071 loss=0.282726
  epoch 8 batch 850/1071 loss=0.283666
  epoch 8 batch 900/1071 loss=0.284006
  epoch 8 batch 950/1071 loss=0.285208
  epoch 8 batch 1000/1071 loss=0.284141
  epoch 8 batch 1050/1071 loss=0.284493
Epoch 8 | train_loss=0.284052 val_mse=0.177564 val_mae=0.288906 (20.0s)
  EarlyStopping: 4/5
  epoch 9 batch 50/1071 loss=0.277021
  epoch 9 batch 100/1071 loss=0.284375
  epoch 9 batch 150/1071 loss=0.280970
  epoch 9 batch 200/1071 loss=0.273265
  epoch 9 batch 250/1071 loss=0.283447
  epoch 9 batch 300/1071 loss=0.283422
  epoch 9 batch 350/1071 loss=0.281728
