============================================================
data:
  name: ettm1
  root_path: data/ETT-small
  data_path: ETTm1.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: segrnn
  type: rnn
  d_model: 512
  seg_len: 48
  dropout: 0.5
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 96
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=34369 val=11425 test=11425
Built model: segrnn | params=1,627,952
  epoch 1 batch 50/1074 loss=0.463548
  epoch 1 batch 100/1074 loss=0.405571
  epoch 1 batch 150/1074 loss=0.375549
  epoch 1 batch 200/1074 loss=0.361588
  epoch 1 batch 250/1074 loss=0.349951
  epoch 1 batch 300/1074 loss=0.342226
  epoch 1 batch 350/1074 loss=0.336082
  epoch 1 batch 400/1074 loss=0.330962
  epoch 1 batch 450/1074 loss=0.326948
  epoch 1 batch 500/1074 loss=0.323830
  epoch 1 batch 550/1074 loss=0.320715
  epoch 1 batch 600/1074 loss=0.318105
  epoch 1 batch 650/1074 loss=0.315420
  epoch 1 batch 700/1074 loss=0.313604
  epoch 1 batch 750/1074 loss=0.311264
  epoch 1 batch 800/1074 loss=0.309463
  epoch 1 batch 850/1074 loss=0.307452
  epoch 1 batch 900/1074 loss=0.305859
  epoch 1 batch 950/1074 loss=0.304500
  epoch 1 batch 1000/1074 loss=0.303505
  epoch 1 batch 1050/1074 loss=0.302079
Epoch 1 | train_loss=0.301755 val_mse=0.399045 val_mae=0.424894 (13.0s)
  Validation improved to 0.399045; saved checkpoint.
  epoch 2 batch 50/1074 loss=0.283275
  epoch 2 batch 100/1074 loss=0.280953
  epoch 2 batch 150/1074 loss=0.275783
  epoch 2 batch 200/1074 loss=0.275548
  epoch 2 batch 250/1074 loss=0.272800
  epoch 2 batch 300/1074 loss=0.271358
  epoch 2 batch 350/1074 loss=0.271433
  epoch 2 batch 400/1074 loss=0.271147
  epoch 2 batch 450/1074 loss=0.270917
  epoch 2 batch 500/1074 loss=0.270157
  epoch 2 batch 550/1074 loss=0.269905
  epoch 2 batch 600/1074 loss=0.270450
  epoch 2 batch 650/1074 loss=0.270020
  epoch 2 batch 700/1074 loss=0.270032
  epoch 2 batch 750/1074 loss=0.269549
  epoch 2 batch 800/1074 loss=0.269014
  epoch 2 batch 850/1074 loss=0.268916
  epoch 2 batch 900/1074 loss=0.268526
  epoch 2 batch 950/1074 loss=0.268122
  epoch 2 batch 1000/1074 loss=0.268317
  epoch 2 batch 1050/1074 loss=0.268073
Epoch 2 | train_loss=0.267959 val_mse=0.417288 val_mae=0.435642 (12.3s)
  EarlyStopping: 1/8
  epoch 3 batch 50/1074 loss=0.259884
  epoch 3 batch 100/1074 loss=0.260229
  epoch 3 batch 150/1074 loss=0.258347
  epoch 3 batch 200/1074 loss=0.259665
  epoch 3 batch 250/1074 loss=0.258260
  epoch 3 batch 300/1074 loss=0.258719
  epoch 3 batch 350/1074 loss=0.259852
  epoch 3 batch 400/1074 loss=0.259924
  epoch 3 batch 450/1074 loss=0.259874
  epoch 3 batch 500/1074 loss=0.259111
  epoch 3 batch 550/1074 loss=0.259375
  epoch 3 batch 600/1074 loss=0.259367
  epoch 3 batch 650/1074 loss=0.258664
  epoch 3 batch 700/1074 loss=0.258063
  epoch 3 batch 750/1074 loss=0.257961
  epoch 3 batch 800/1074 loss=0.257895
  epoch 3 batch 850/1074 loss=0.258135
  epoch 3 batch 900/1074 loss=0.258029
  epoch 3 batch 950/1074 loss=0.258093
  epoch 3 batch 1000/1074 loss=0.257614
  epoch 3 batch 1050/1074 loss=0.257029
Epoch 3 | train_loss=0.256859 val_mse=0.411448 val_mae=0.431830 (12.4s)
  EarlyStopping: 2/8
  epoch 4 batch 50/1074 loss=0.252774
  epoch 4 batch 100/1074 loss=0.251100
  epoch 4 batch 150/1074 loss=0.248785
  epoch 4 batch 200/1074 loss=0.250718
  epoch 4 batch 250/1074 loss=0.252023
  epoch 4 batch 300/1074 loss=0.251689
  epoch 4 batch 350/1074 loss=0.251628
  epoch 4 batch 400/1074 loss=0.249861
  epoch 4 batch 450/1074 loss=0.249311
