============================================================
data:
  name: traffic
  root_path: data/traffic
  data_path: traffic.csv
  data_kind: custom
  features: M
  target: OT
  freq: h
  n_vars: 862
model:
  name: lstm
  type: rnn
  d_model: 128
  e_layers: 2
  dropout: 0.1
  revin: true
  affine: true
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 8
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=11465 val=1037 test=2789
Built model: lstm | params=293,772
  epoch 4 batch 1350/1433 loss=0.329006
  epoch 4 batch 1400/1433 loss=0.329061
Epoch 4 | train_loss=0.328964 val_mse=0.506734 val_mae=0.331097 (334.9s)
  Validation improved to 0.506734; saved checkpoint.
  epoch 5 batch 50/1433 loss=0.324293
  epoch 5 batch 100/1433 loss=0.326498
  epoch 5 batch 150/1433 loss=0.324894
  epoch 5 batch 200/1433 loss=0.324147
  epoch 5 batch 250/1433 loss=0.323154
  epoch 5 batch 300/1433 loss=0.323046
  epoch 5 batch 350/1433 loss=0.322754
  epoch 5 batch 400/1433 loss=0.323048
  epoch 5 batch 450/1433 loss=0.323015
  epoch 5 batch 500/1433 loss=0.323053
  epoch 5 batch 550/1433 loss=0.323062
  epoch 5 batch 600/1433 loss=0.323102
  epoch 5 batch 650/1433 loss=0.323150
  epoch 5 batch 700/1433 loss=0.323141
  epoch 5 batch 750/1433 loss=0.323218
  epoch 5 batch 800/1433 loss=0.323290
  epoch 5 batch 850/1433 loss=0.323648
  epoch 5 batch 900/1433 loss=0.323924
  epoch 5 batch 950/1433 loss=0.323895
  epoch 5 batch 1000/1433 loss=0.323757
  epoch 5 batch 1050/1433 loss=0.323775
  epoch 5 batch 1100/1433 loss=0.323714
  epoch 5 batch 1150/1433 loss=0.323495
  epoch 5 batch 1200/1433 loss=0.323472
  epoch 5 batch 1250/1433 loss=0.323347
  epoch 5 batch 1300/1433 loss=0.323263
  epoch 5 batch 1350/1433 loss=0.323249
  epoch 5 batch 1400/1433 loss=0.323245
Epoch 5 | train_loss=0.323235 val_mse=0.504929 val_mae=0.330658 (334.3s)
  Validation improved to 0.504929; saved checkpoint.
  epoch 6 batch 50/1433 loss=0.321834
  epoch 6 batch 100/1433 loss=0.321127
  epoch 6 batch 150/1433 loss=0.321493
  epoch 6 batch 200/1433 loss=0.321586
  epoch 6 batch 250/1433 loss=0.320937
  epoch 6 batch 300/1433 loss=0.320697
  epoch 6 batch 350/1433 loss=0.320959
  epoch 6 batch 400/1433 loss=0.321305
  epoch 6 batch 450/1433 loss=0.321500
  epoch 6 batch 500/1433 loss=0.321215
  epoch 6 batch 550/1433 loss=0.321142
  epoch 6 batch 600/1433 loss=0.321242
  epoch 6 batch 650/1433 loss=0.321209
  epoch 6 batch 700/1433 loss=0.321163
  epoch 6 batch 750/1433 loss=0.320806
  epoch 6 batch 800/1433 loss=0.321020
  epoch 6 batch 850/1433 loss=0.320944
  epoch 6 batch 900/1433 loss=0.320804
  epoch 6 batch 950/1433 loss=0.320641
  epoch 6 batch 1000/1433 loss=0.320631
  epoch 6 batch 1050/1433 loss=0.320692
  epoch 6 batch 1100/1433 loss=0.320811
  epoch 6 batch 1150/1433 loss=0.320787
  epoch 6 batch 1200/1433 loss=0.320618
  epoch 6 batch 1250/1433 loss=0.320505
  epoch 6 batch 1300/1433 loss=0.320449
  epoch 6 batch 1350/1433 loss=0.320366
  epoch 6 batch 1400/1433 loss=0.320329
Epoch 6 | train_loss=0.320288 val_mse=0.502790 val_mae=0.324449 (334.2s)
  Validation improved to 0.502790; saved checkpoint.
