============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: gru
  type: rnn
  d_model: 128
  e_layers: 2
  dropout: 0.1
  revin: true
  affine: true
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36456 val=4935 test=10204
Built model: gru | params=192,762
  epoch 5 batch 1050/1139 loss=0.537244
  epoch 5 batch 1100/1139 loss=0.537074
Epoch 5 | train_loss=0.537198 val_mse=0.544678 val_mae=0.373855 (10.1s)
  Validation improved to 0.544678; saved checkpoint.
  epoch 6 batch 50/1139 loss=0.548263
  epoch 6 batch 100/1139 loss=0.554165
  epoch 6 batch 150/1139 loss=0.541346
  epoch 6 batch 200/1139 loss=0.532708
  epoch 6 batch 250/1139 loss=0.529959
  epoch 6 batch 300/1139 loss=0.531431
  epoch 6 batch 350/1139 loss=0.530329
  epoch 6 batch 400/1139 loss=0.530517
  epoch 6 batch 450/1139 loss=0.529818
  epoch 6 batch 500/1139 loss=0.531701
  epoch 6 batch 550/1139 loss=0.533460
  epoch 6 batch 600/1139 loss=0.530516
  epoch 6 batch 650/1139 loss=0.534675
  epoch 6 batch 700/1139 loss=0.534526
  epoch 6 batch 750/1139 loss=0.534165
  epoch 6 batch 800/1139 loss=0.533009
  epoch 6 batch 850/1139 loss=0.532961
  epoch 6 batch 900/1139 loss=0.532348
  epoch 6 batch 950/1139 loss=0.533161
  epoch 6 batch 1000/1139 loss=0.533224
  epoch 6 batch 1050/1139 loss=0.533448
  epoch 6 batch 1100/1139 loss=0.535184
Epoch 6 | train_loss=0.534331 val_mse=0.545604 val_mae=0.375454 (10.0s)
  EarlyStopping: 1/3
  epoch 7 batch 50/1139 loss=0.547440
  epoch 7 batch 100/1139 loss=0.544858
  epoch 7 batch 150/1139 loss=0.537350
  epoch 7 batch 200/1139 loss=0.535804
  epoch 7 batch 250/1139 loss=0.534624
  epoch 7 batch 300/1139 loss=0.531333
  epoch 7 batch 350/1139 loss=0.533572
  epoch 7 batch 400/1139 loss=0.537195
  epoch 7 batch 450/1139 loss=0.536528
  epoch 7 batch 500/1139 loss=0.535668
  epoch 7 batch 550/1139 loss=0.531888
  epoch 7 batch 600/1139 loss=0.532006
  epoch 7 batch 650/1139 loss=0.532848
  epoch 7 batch 700/1139 loss=0.534680
  epoch 7 batch 750/1139 loss=0.533295
  epoch 7 batch 800/1139 loss=0.534353
  epoch 7 batch 850/1139 loss=0.532378
  epoch 7 batch 900/1139 loss=0.532521
  epoch 7 batch 950/1139 loss=0.533418
  epoch 7 batch 1000/1139 loss=0.531995
  epoch 7 batch 1050/1139 loss=0.533719
  epoch 7 batch 1100/1139 loss=0.534044
Epoch 7 | train_loss=0.532757 val_mse=0.544778 val_mae=0.374619 (10.0s)
  EarlyStopping: 2/3
  epoch 8 batch 50/1139 loss=0.573571
  epoch 8 batch 100/1139 loss=0.536575
  epoch 8 batch 150/1139 loss=0.522446
  epoch 8 batch 200/1139 loss=0.527556
  epoch 8 batch 250/1139 loss=0.525823
