============================================================
data:
  name: ettm1
  root_path: data/ETT-small
  data_path: ETTm1.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: segrnn
  type: rnn
  d_model: 512
  seg_len: 48
  dropout: 0.5
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=33745 val=10801 test=10801
Built model: segrnn | params=1,631,280
  epoch 6 batch 150/1054 loss=0.390970
  epoch 6 batch 200/1054 loss=0.389838
  epoch 6 batch 250/1054 loss=0.390532
  epoch 6 batch 300/1054 loss=0.392258
  epoch 6 batch 350/1054 loss=0.390981
  epoch 6 batch 400/1054 loss=0.389549
  epoch 6 batch 450/1054 loss=0.390154
  epoch 6 batch 500/1054 loss=0.390114
  epoch 6 batch 550/1054 loss=0.389764
  epoch 6 batch 600/1054 loss=0.388968
  epoch 6 batch 650/1054 loss=0.388968
  epoch 6 batch 700/1054 loss=0.389108
  epoch 6 batch 750/1054 loss=0.389040
  epoch 6 batch 800/1054 loss=0.388435
  epoch 6 batch 850/1054 loss=0.388277
  epoch 6 batch 900/1054 loss=0.387943
  epoch 6 batch 950/1054 loss=0.388353
  epoch 6 batch 1000/1054 loss=0.388288
  epoch 6 batch 1050/1054 loss=0.387841
Epoch 6 | train_loss=0.387832 val_mse=1.023169 val_mae=0.664317 (14.2s)
  EarlyStopping: 5/8
  epoch 7 batch 50/1054 loss=0.373827
  epoch 7 batch 100/1054 loss=0.379444
  epoch 7 batch 150/1054 loss=0.376138
  epoch 7 batch 200/1054 loss=0.378004
  epoch 7 batch 250/1054 loss=0.377760
  epoch 7 batch 300/1054 loss=0.377658
  epoch 7 batch 350/1054 loss=0.378123
  epoch 7 batch 400/1054 loss=0.378158
  epoch 7 batch 450/1054 loss=0.378233
  epoch 7 batch 500/1054 loss=0.378244
  epoch 7 batch 550/1054 loss=0.378560
  epoch 7 batch 600/1054 loss=0.378031
  epoch 7 batch 650/1054 loss=0.377954
  epoch 7 batch 700/1054 loss=0.378057
  epoch 7 batch 750/1054 loss=0.377739
  epoch 7 batch 800/1054 loss=0.377676
  epoch 7 batch 850/1054 loss=0.377165
  epoch 7 batch 900/1054 loss=0.377387
  epoch 7 batch 950/1054 loss=0.377745
  epoch 7 batch 1000/1054 loss=0.377580
  epoch 7 batch 1050/1054 loss=0.377303
Epoch 7 | train_loss=0.377284 val_mse=1.048634 val_mae=0.666662 (14.0s)
  EarlyStopping: 6/8
  epoch 8 batch 50/1054 loss=0.360014
  epoch 8 batch 100/1054 loss=0.366189
  epoch 8 batch 150/1054 loss=0.368358
  epoch 8 batch 200/1054 loss=0.366440
  epoch 8 batch 250/1054 loss=0.365973
  epoch 8 batch 300/1054 loss=0.366707
  epoch 8 batch 350/1054 loss=0.366895
  epoch 8 batch 400/1054 loss=0.368155
  epoch 8 batch 450/1054 loss=0.368112
  epoch 8 batch 500/1054 loss=0.367443
  epoch 8 batch 550/1054 loss=0.367122
  epoch 8 batch 600/1054 loss=0.367706
  epoch 8 batch 650/1054 loss=0.367986
  epoch 8 batch 700/1054 loss=0.367813
  epoch 8 batch 750/1054 loss=0.367077
  epoch 8 batch 800/1054 loss=0.367037
  epoch 8 batch 850/1054 loss=0.367182
  epoch 8 batch 900/1054 loss=0.367101
  epoch 8 batch 950/1054 loss=0.367522
  epoch 8 batch 1000/1054 loss=0.367680
  epoch 8 batch 1050/1054 loss=0.367472
Epoch 8 | train_loss=0.367451 val_mse=1.016840 val_mae=0.662041 (14.1s)
  EarlyStopping: 7/8
  epoch 9 batch 50/1054 loss=0.356287
  epoch 9 batch 100/1054 loss=0.352681
  epoch 9 batch 150/1054 loss=0.353803
  epoch 9 batch 200/1054 loss=0.355939
  epoch 9 batch 250/1054 loss=0.356598
  epoch 9 batch 300/1054 loss=0.357870
  epoch 9 batch 350/1054 loss=0.358530
  epoch 9 batch 400/1054 loss=0.358941
  epoch 9 batch 450/1054 loss=0.359042
  epoch 9 batch 500/1054 loss=0.359376
  epoch 9 batch 550/1054 loss=0.359283
  epoch 9 batch 600/1054 loss=0.358407
  epoch 9 batch 650/1054 loss=0.358264
  epoch 9 batch 700/1054 loss=0.358413
  epoch 9 batch 750/1054 loss=0.358137
  epoch 9 batch 800/1054 loss=0.357748
  epoch 9 batch 850/1054 loss=0.357829
  epoch 9 batch 900/1054 loss=0.357740
  epoch 9 batch 950/1054 loss=0.358100
  epoch 9 batch 1000/1054 loss=0.357827
  epoch 9 batch 1050/1054 loss=0.357518
Epoch 9 | train_loss=0.357457 val_mse=1.046143 val_mae=0.667085 (13.7s)
  EarlyStopping: 8/8
Early stopping at epoch 9.

Test | mse=0.461229 mae=0.450273 rmse=0.679138
