============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: patchtst
  type: transformer
  d_model: 128
  d_ff: 256
  e_layers: 3
  n_heads: 16
  patch_len: 16
  stride: 8
  dropout: 0.2
  fc_dropout: 0.2
  head_dropout: 0.0
  activation: gelu
  revin: 1
  affine: 0
  subtract_last: 0
  decomposition: 0
  kernel_size: 25
  individual: 0
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.0001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36072 val=4551 test=9820
Built model: patchtst | params=1,506,384
  epoch 5 batch 850/1127 loss=0.679868
  epoch 5 batch 900/1127 loss=0.677478
  epoch 5 batch 950/1127 loss=0.677241
  epoch 5 batch 1000/1127 loss=0.676848
  epoch 5 batch 1050/1127 loss=0.676394
  epoch 5 batch 1100/1127 loss=0.675830
Epoch 5 | train_loss=0.675397 val_mse=0.728337 val_mae=0.471561 (223.0s)
  Validation improved to 0.728337; saved checkpoint.
  epoch 6 batch 50/1127 loss=0.649152
  epoch 6 batch 100/1127 loss=0.660711
  epoch 6 batch 150/1127 loss=0.666523
  epoch 6 batch 200/1127 loss=0.666243
  epoch 6 batch 250/1127 loss=0.667630
  epoch 6 batch 300/1127 loss=0.664027
  epoch 6 batch 350/1127 loss=0.664149
  epoch 6 batch 400/1127 loss=0.667402
  epoch 6 batch 450/1127 loss=0.668541
  epoch 6 batch 500/1127 loss=0.667822
  epoch 6 batch 550/1127 loss=0.670148
  epoch 6 batch 600/1127 loss=0.670036
  epoch 6 batch 650/1127 loss=0.668646
  epoch 6 batch 700/1127 loss=0.668301
  epoch 6 batch 750/1127 loss=0.668935
  epoch 6 batch 800/1127 loss=0.668837
  epoch 6 batch 850/1127 loss=0.668224
  epoch 6 batch 900/1127 loss=0.667985
  epoch 6 batch 950/1127 loss=0.667759
  epoch 6 batch 1000/1127 loss=0.667782
  epoch 6 batch 1050/1127 loss=0.668467
  epoch 6 batch 1100/1127 loss=0.669957
Epoch 6 | train_loss=0.670446 val_mse=0.725049 val_mae=0.470041 (230.0s)
  Validation improved to 0.725049; saved checkpoint.
  epoch 7 batch 50/1127 loss=0.689828
  epoch 7 batch 100/1127 loss=0.675260
  epoch 7 batch 150/1127 loss=0.659282
  epoch 7 batch 200/1127 loss=0.655670
  epoch 7 batch 250/1127 loss=0.657462
  epoch 7 batch 300/1127 loss=0.660673
  epoch 7 batch 350/1127 loss=0.662633
  epoch 7 batch 400/1127 loss=0.668172
  epoch 7 batch 450/1127 loss=0.669122
  epoch 7 batch 500/1127 loss=0.668145
  epoch 7 batch 550/1127 loss=0.667351
  epoch 7 batch 600/1127 loss=0.666878
  epoch 7 batch 650/1127 loss=0.667270
  epoch 7 batch 700/1127 loss=0.666365
  epoch 7 batch 750/1127 loss=0.665464
  epoch 7 batch 800/1127 loss=0.665777
  epoch 7 batch 850/1127 loss=0.665888
  epoch 7 batch 900/1127 loss=0.667013
  epoch 7 batch 950/1127 loss=0.666799
  epoch 7 batch 1000/1127 loss=0.665832
  epoch 7 batch 1050/1127 loss=0.665992
  epoch 7 batch 1100/1127 loss=0.665553
Epoch 7 | train_loss=0.666509 val_mse=0.721128 val_mae=0.469682 (226.3s)
  Validation improved to 0.721128; saved checkpoint.
  epoch 8 batch 50/1127 loss=0.659964
  epoch 8 batch 100/1127 loss=0.659017
  epoch 8 batch 150/1127 loss=0.668729
  epoch 8 batch 200/1127 loss=0.672755
  epoch 8 batch 250/1127 loss=0.666912
  epoch 8 batch 300/1127 loss=0.668746
  epoch 8 batch 350/1127 loss=0.667134
  epoch 8 batch 400/1127 loss=0.668396
  epoch 8 batch 450/1127 loss=0.666385
  epoch 8 batch 500/1127 loss=0.667253
  epoch 8 batch 550/1127 loss=0.664209
  epoch 8 batch 600/1127 loss=0.664631
  epoch 8 batch 650/1127 loss=0.663482
  epoch 8 batch 700/1127 loss=0.664615
  epoch 8 batch 750/1127 loss=0.663986
  epoch 8 batch 800/1127 loss=0.665236
  epoch 8 batch 850/1127 loss=0.665272
  epoch 8 batch 900/1127 loss=0.666787
  epoch 8 batch 950/1127 loss=0.665841
  epoch 8 batch 1000/1127 loss=0.665350
  epoch 8 batch 1050/1127 loss=0.665271
  epoch 8 batch 1100/1127 loss=0.663606
Epoch 8 | train_loss=0.663777 val_mse=0.726392 val_mae=0.472654 (225.1s)
  EarlyStopping: 1/8
  epoch 9 batch 50/1127 loss=0.658664
  epoch 9 batch 100/1127 loss=0.663689
  epoch 9 batch 150/1127 loss=0.663091
  epoch 9 batch 200/1127 loss=0.664198
  epoch 9 batch 250/1127 loss=0.670668
  epoch 9 batch 300/1127 loss=0.670450
  epoch 9 batch 350/1127 loss=0.667246
  epoch 9 batch 400/1127 loss=0.668175
  epoch 9 batch 450/1127 loss=0.666111
  epoch 9 batch 500/1127 loss=0.668592
  epoch 9 batch 550/1127 loss=0.666553
  epoch 9 batch 600/1127 loss=0.664957
  epoch 9 batch 650/1127 loss=0.664915
  epoch 9 batch 700/1127 loss=0.665995
  epoch 9 batch 750/1127 loss=0.665822
  epoch 9 batch 800/1127 loss=0.664330
  epoch 9 batch 850/1127 loss=0.662882
  epoch 9 batch 900/1127 loss=0.662647
  epoch 9 batch 950/1127 loss=0.662114
  epoch 9 batch 1000/1127 loss=0.661309
  epoch 9 batch 1050/1127 loss=0.661463
  epoch 9 batch 1100/1127 loss=0.660826
Epoch 9 | train_loss=0.660604 val_mse=0.721536 val_mae=0.470348 (224.3s)
  EarlyStopping: 2/8
  epoch 10 batch 50/1127 loss=0.661825
  epoch 10 batch 100/1127 loss=0.650294
  epoch 10 batch 150/1127 loss=0.652995
  epoch 10 batch 200/1127 loss=0.654446
  epoch 10 batch 250/1127 loss=0.657199
  epoch 10 batch 300/1127 loss=0.658518
  epoch 10 batch 350/1127 loss=0.659014
  epoch 10 batch 400/1127 loss=0.659587
  epoch 10 batch 450/1127 loss=0.657192
  epoch 10 batch 500/1127 loss=0.655935
  epoch 10 batch 550/1127 loss=0.660862
  epoch 10 batch 600/1127 loss=0.658350
  epoch 10 batch 650/1127 loss=0.656614
  epoch 10 batch 700/1127 loss=0.659133
  epoch 10 batch 750/1127 loss=0.659282
  epoch 10 batch 800/1127 loss=0.658715
  epoch 10 batch 850/1127 loss=0.659473
  epoch 10 batch 900/1127 loss=0.658555
  epoch 10 batch 950/1127 loss=0.659243
  epoch 10 batch 1000/1127 loss=0.658863
  epoch 10 batch 1050/1127 loss=0.658586
  epoch 10 batch 1100/1127 loss=0.659333
Epoch 10 | train_loss=0.658603 val_mse=0.724247 val_mae=0.470530 (225.9s)
  EarlyStopping: 3/8
  epoch 11 batch 50/1127 loss=0.665173
  epoch 11 batch 100/1127 loss=0.649836
  epoch 11 batch 150/1127 loss=0.650364
  epoch 11 batch 200/1127 loss=0.645208
  epoch 11 batch 250/1127 loss=0.643936
  epoch 11 batch 300/1127 loss=0.647352
  epoch 11 batch 350/1127 loss=0.652333
  epoch 11 batch 400/1127 loss=0.649905
  epoch 11 batch 450/1127 loss=0.651743
  epoch 11 batch 500/1127 loss=0.651613
  epoch 11 batch 550/1127 loss=0.651603
  epoch 11 batch 600/1127 loss=0.652372
  epoch 11 batch 650/1127 loss=0.655284
  epoch 11 batch 700/1127 loss=0.655513
  epoch 11 batch 750/1127 loss=0.655818
  epoch 11 batch 800/1127 loss=0.654792
  epoch 11 batch 850/1127 loss=0.655674
  epoch 11 batch 900/1127 loss=0.655372
  epoch 11 batch 950/1127 loss=0.655137
  epoch 11 batch 1000/1127 loss=0.655731
  epoch 11 batch 1050/1127 loss=0.655622
  epoch 11 batch 1100/1127 loss=0.656185
Epoch 11 | train_loss=0.656986 val_mse=0.717475 val_mae=0.469959 (218.8s)
  Validation improved to 0.717475; saved checkpoint.
  epoch 12 batch 50/1127 loss=0.643620
  epoch 12 batch 100/1127 loss=0.637944
  epoch 12 batch 150/1127 loss=0.637853
  epoch 12 batch 200/1127 loss=0.638911
  epoch 12 batch 250/1127 loss=0.641825
  epoch 12 batch 300/1127 loss=0.645622
  epoch 12 batch 350/1127 loss=0.644823
  epoch 12 batch 400/1127 loss=0.645003
  epoch 12 batch 450/1127 loss=0.646369
  epoch 12 batch 500/1127 loss=0.647669
  epoch 12 batch 550/1127 loss=0.647927
  epoch 12 batch 600/1127 loss=0.649016
  epoch 12 batch 650/1127 loss=0.648572
  epoch 12 batch 700/1127 loss=0.650378
  epoch 12 batch 750/1127 loss=0.651650
  epoch 12 batch 800/1127 loss=0.652937
  epoch 12 batch 850/1127 loss=0.652628
  epoch 12 batch 900/1127 loss=0.653656
  epoch 12 batch 950/1127 loss=0.653766
  epoch 12 batch 1000/1127 loss=0.653650
  epoch 12 batch 1050/1127 loss=0.655512
  epoch 12 batch 1100/1127 loss=0.654938
Epoch 12 | train_loss=0.655033 val_mse=0.716349 val_mae=0.468159 (220.6s)
  Validation improved to 0.716349; saved checkpoint.
  epoch 13 batch 50/1127 loss=0.655796
  epoch 13 batch 100/1127 loss=0.659531
  epoch 13 batch 150/1127 loss=0.656445
  epoch 13 batch 200/1127 loss=0.658990
  epoch 13 batch 250/1127 loss=0.657315
  epoch 13 batch 300/1127 loss=0.652877
  epoch 13 batch 350/1127 loss=0.651612
  epoch 13 batch 400/1127 loss=0.651963
  epoch 13 batch 450/1127 loss=0.656636
  epoch 13 batch 500/1127 loss=0.656974
  epoch 13 batch 550/1127 loss=0.656096
  epoch 13 batch 600/1127 loss=0.657315
  epoch 13 batch 650/1127 loss=0.656049
  epoch 13 batch 700/1127 loss=0.654362
  epoch 13 batch 750/1127 loss=0.653858
  epoch 13 batch 800/1127 loss=0.653541
  epoch 13 batch 850/1127 loss=0.654779
  epoch 13 batch 900/1127 loss=0.655352
  epoch 13 batch 950/1127 loss=0.656077
  epoch 13 batch 1000/1127 loss=0.655176
  epoch 13 batch 1050/1127 loss=0.654750
  epoch 13 batch 1100/1127 loss=0.653458
Epoch 13 | train_loss=0.653299 val_mse=0.719769 val_mae=0.468282 (220.4s)
  EarlyStopping: 1/8
  epoch 14 batch 50/1127 loss=0.658082
  epoch 14 batch 100/1127 loss=0.664004
  epoch 14 batch 150/1127 loss=0.659238
  epoch 14 batch 200/1127 loss=0.658807
  epoch 14 batch 250/1127 loss=0.655791
  epoch 14 batch 300/1127 loss=0.659923
  epoch 14 batch 350/1127 loss=0.660771
  epoch 14 batch 400/1127 loss=0.657798
  epoch 14 batch 450/1127 loss=0.659250
  epoch 14 batch 500/1127 loss=0.659042
  epoch 14 batch 550/1127 loss=0.657118
  epoch 14 batch 600/1127 loss=0.654989
  epoch 14 batch 650/1127 loss=0.655626
  epoch 14 batch 700/1127 loss=0.655477
  epoch 14 batch 750/1127 loss=0.654498
  epoch 14 batch 800/1127 loss=0.654585
  epoch 14 batch 850/1127 loss=0.655636
  epoch 14 batch 900/1127 loss=0.654600
  epoch 14 batch 950/1127 loss=0.653745
  epoch 14 batch 1000/1127 loss=0.653169
  epoch 14 batch 1050/1127 loss=0.652103
  epoch 14 batch 1100/1127 loss=0.651557
Epoch 14 | train_loss=0.651934 val_mse=0.720640 val_mae=0.469676 (225.7s)
  EarlyStopping: 2/8
  epoch 15 batch 50/1127 loss=0.651444
  epoch 15 batch 100/1127 loss=0.665743
  epoch 15 batch 150/1127 loss=0.673392
  epoch 15 batch 200/1127 loss=0.667634
  epoch 15 batch 250/1127 loss=0.663912
  epoch 15 batch 300/1127 loss=0.664696
  epoch 15 batch 350/1127 loss=0.662859
  epoch 15 batch 400/1127 loss=0.663167
  epoch 15 batch 450/1127 loss=0.663529
  epoch 15 batch 500/1127 loss=0.661151
  epoch 15 batch 550/1127 loss=0.660457
  epoch 15 batch 600/1127 loss=0.659384
  epoch 15 batch 650/1127 loss=0.655652
  epoch 15 batch 700/1127 loss=0.655997
  epoch 15 batch 750/1127 loss=0.653766
  epoch 15 batch 800/1127 loss=0.651642
  epoch 15 batch 850/1127 loss=0.652291
  epoch 15 batch 900/1127 loss=0.651736
  epoch 15 batch 950/1127 loss=0.650739
  epoch 15 batch 1000/1127 loss=0.649787
  epoch 15 batch 1050/1127 loss=0.649816
  epoch 15 batch 1100/1127 loss=0.650046
