============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: segrnn
  type: rnn
  d_model: 512
  seg_len: 48
  dropout: 0.5
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 96
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36696 val=5175 test=10444
Built model: segrnn | params=1,631,536
  epoch 5 batch 1100/1146 loss=0.458339
Epoch 5 | train_loss=0.455090 val_mse=0.428080 val_mae=0.283354 (13.1s)
  Validation improved to 0.428080; saved checkpoint.
  epoch 6 batch 50/1146 loss=0.413415
  epoch 6 batch 100/1146 loss=0.540970
  epoch 6 batch 150/1146 loss=0.492026
  epoch 6 batch 200/1146 loss=0.458280
  epoch 6 batch 250/1146 loss=0.445710
  epoch 6 batch 300/1146 loss=0.442516
  epoch 6 batch 350/1146 loss=0.429337
  epoch 6 batch 400/1146 loss=0.423958
  epoch 6 batch 450/1146 loss=0.417647
  epoch 6 batch 500/1146 loss=0.407744
  epoch 6 batch 550/1146 loss=0.400325
  epoch 6 batch 600/1146 loss=0.394467
  epoch 6 batch 650/1146 loss=0.396587
  epoch 6 batch 700/1146 loss=0.394888
  epoch 6 batch 750/1146 loss=0.400117
  epoch 6 batch 800/1146 loss=0.403899
  epoch 6 batch 850/1146 loss=0.405003
  epoch 6 batch 900/1146 loss=0.404773
  epoch 6 batch 950/1146 loss=0.407125
  epoch 6 batch 1000/1146 loss=0.465397
  epoch 6 batch 1050/1146 loss=0.463257
  epoch 6 batch 1100/1146 loss=0.459073
Epoch 6 | train_loss=0.455349 val_mse=0.423047 val_mae=0.287182 (12.5s)
  Validation improved to 0.423047; saved checkpoint.
  epoch 7 batch 50/1146 loss=1.358044
  epoch 7 batch 100/1146 loss=0.876236
  epoch 7 batch 150/1146 loss=0.713604
  epoch 7 batch 200/1146 loss=0.653655
  epoch 7 batch 250/1146 loss=0.602793
  epoch 7 batch 300/1146 loss=0.577699
  epoch 7 batch 350/1146 loss=0.549821
  epoch 7 batch 400/1146 loss=0.529546
  epoch 7 batch 450/1146 loss=0.505913
  epoch 7 batch 500/1146 loss=0.494741
  epoch 7 batch 550/1146 loss=0.484789
  epoch 7 batch 600/1146 loss=0.474863
  epoch 7 batch 650/1146 loss=0.474311
  epoch 7 batch 700/1146 loss=0.469619
  epoch 7 batch 750/1146 loss=0.466743
  epoch 7 batch 800/1146 loss=0.463856
  epoch 7 batch 850/1146 loss=0.458864
  epoch 7 batch 900/1146 loss=0.454263
  epoch 7 batch 950/1146 loss=0.452611
  epoch 7 batch 1000/1146 loss=0.457684
  epoch 7 batch 1050/1146 loss=0.452862
  epoch 7 batch 1100/1146 loss=0.448975
Epoch 7 | train_loss=0.446845 val_mse=0.421975 val_mae=0.284242 (12.5s)
  Validation improved to 0.421975; saved checkpoint.
  epoch 8 batch 50/1146 loss=0.396611
  epoch 8 batch 100/1146 loss=0.387176
  epoch 8 batch 150/1146 loss=0.454768
  epoch 8 batch 200/1146 loss=0.420808
