============================================================
data:
  name: ettm1
  root_path: data/ETT-small
  data_path: ETTm1.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: moderntcn
  type: cnn
  patch_size: 16
  patch_stride: 8
  ffn_ratio: 1
  num_blocks: 1
  large_size: 31
  small_size: 5
  d_model: 64
  backbone_dropout: 0.1
  head_dropout: 0.1
  revin: true
  affine: false
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 192
  batch_size: 32
  num_workers: 4
  train_epochs: 50
  patience: 10
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=34273 val=11329 test=11329
Built model: moderntcn | params=287,040
Epoch 5 | train_loss=0.220988 val_mse=0.548415 val_mae=0.495070 (12.0s)
  EarlyStopping: 4/10
  epoch 6 batch 50/1071 loss=0.214120
  epoch 6 batch 100/1071 loss=0.211623
  epoch 6 batch 150/1071 loss=0.211354
  epoch 6 batch 200/1071 loss=0.211953
  epoch 6 batch 250/1071 loss=0.212111
  epoch 6 batch 300/1071 loss=0.211507
  epoch 6 batch 350/1071 loss=0.212750
  epoch 6 batch 400/1071 loss=0.213331
  epoch 6 batch 450/1071 loss=0.212933
  epoch 6 batch 500/1071 loss=0.212988
  epoch 6 batch 550/1071 loss=0.212805
  epoch 6 batch 600/1071 loss=0.212431
  epoch 6 batch 650/1071 loss=0.212554
  epoch 6 batch 700/1071 loss=0.212080
  epoch 6 batch 750/1071 loss=0.212350
  epoch 6 batch 800/1071 loss=0.211984
  epoch 6 batch 850/1071 loss=0.212186
  epoch 6 batch 900/1071 loss=0.212171
  epoch 6 batch 950/1071 loss=0.212217
  epoch 6 batch 1000/1071 loss=0.212209
  epoch 6 batch 1050/1071 loss=0.212385
Epoch 6 | train_loss=0.212314 val_mse=0.545305 val_mae=0.491700 (12.3s)
  EarlyStopping: 5/10
  epoch 7 batch 50/1071 loss=0.206686
  epoch 7 batch 100/1071 loss=0.204886
  epoch 7 batch 150/1071 loss=0.204793
  epoch 7 batch 200/1071 loss=0.204351
  epoch 7 batch 250/1071 loss=0.205811
  epoch 7 batch 300/1071 loss=0.205680
  epoch 7 batch 350/1071 loss=0.205646
  epoch 7 batch 400/1071 loss=0.206344
  epoch 7 batch 450/1071 loss=0.206518
  epoch 7 batch 500/1071 loss=0.206709
  epoch 7 batch 550/1071 loss=0.206644
  epoch 7 batch 600/1071 loss=0.206114
  epoch 7 batch 650/1071 loss=0.206053
  epoch 7 batch 700/1071 loss=0.206003
  epoch 7 batch 750/1071 loss=0.206186
  epoch 7 batch 800/1071 loss=0.205898
  epoch 7 batch 850/1071 loss=0.206171
  epoch 7 batch 900/1071 loss=0.206031
  epoch 7 batch 950/1071 loss=0.206028
  epoch 7 batch 1000/1071 loss=0.205668
  epoch 7 batch 1050/1071 loss=0.205302
Epoch 7 | train_loss=0.205321 val_mse=0.543861 val_mae=0.491787 (13.1s)
  EarlyStopping: 6/10
  epoch 8 batch 50/1071 loss=0.200044
  epoch 8 batch 100/1071 loss=0.200521
  epoch 8 batch 150/1071 loss=0.201255
  epoch 8 batch 200/1071 loss=0.200219
  epoch 8 batch 250/1071 loss=0.199701
  epoch 8 batch 300/1071 loss=0.199538
  epoch 8 batch 350/1071 loss=0.199406
  epoch 8 batch 400/1071 loss=0.199498
  epoch 8 batch 450/1071 loss=0.199554
  epoch 8 batch 500/1071 loss=0.200350
