============================================================
data:
  name: ettm2
  root_path: data/ETT-small
  data_path: ETTm2.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: patchtst
  type: transformer
  d_model: 128
  d_ff: 256
  e_layers: 3
  n_heads: 16
  patch_len: 16
  stride: 8
  dropout: 0.2
  fc_dropout: 0.2
  head_dropout: 0.0
  activation: gelu
  revin: 1
  affine: 0
  subtract_last: 0
  decomposition: 0
  kernel_size: 25
  individual: 0
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.0001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=33745 val=10801 test=10801
Built model: patchtst | params=1,506,384
  epoch 5 batch 1050/1054 loss=0.556033
Epoch 5 | train_loss=0.556174 val_mse=0.296298 val_mae=0.376231 (31.2s)
  EarlyStopping: 2/8
  epoch 6 batch 50/1054 loss=0.575617
  epoch 6 batch 100/1054 loss=0.562470
  epoch 6 batch 150/1054 loss=0.560315
  epoch 6 batch 200/1054 loss=0.565579
  epoch 6 batch 250/1054 loss=0.561138
  epoch 6 batch 300/1054 loss=0.556695
  epoch 6 batch 350/1054 loss=0.551073
  epoch 6 batch 400/1054 loss=0.548500
  epoch 6 batch 450/1054 loss=0.551108
  epoch 6 batch 500/1054 loss=0.556381
  epoch 6 batch 550/1054 loss=0.551900
  epoch 6 batch 600/1054 loss=0.550475
  epoch 6 batch 650/1054 loss=0.551243
  epoch 6 batch 700/1054 loss=0.552655
  epoch 6 batch 750/1054 loss=0.552670
  epoch 6 batch 800/1054 loss=0.551721
  epoch 6 batch 850/1054 loss=0.550199
  epoch 6 batch 900/1054 loss=0.551843
  epoch 6 batch 950/1054 loss=0.552727
  epoch 6 batch 1000/1054 loss=0.550559
  epoch 6 batch 1050/1054 loss=0.548803
Epoch 6 | train_loss=0.549307 val_mse=0.296769 val_mae=0.372142 (30.5s)
  EarlyStopping: 3/8
  epoch 7 batch 50/1054 loss=0.554363
  epoch 7 batch 100/1054 loss=0.540298
  epoch 7 batch 150/1054 loss=0.541739
  epoch 7 batch 200/1054 loss=0.543440
  epoch 7 batch 250/1054 loss=0.550274
  epoch 7 batch 300/1054 loss=0.559195
  epoch 7 batch 350/1054 loss=0.555736
  epoch 7 batch 400/1054 loss=0.546105
  epoch 7 batch 450/1054 loss=0.542320
  epoch 7 batch 500/1054 loss=0.538816
  epoch 7 batch 550/1054 loss=0.539119
  epoch 7 batch 600/1054 loss=0.538913
  epoch 7 batch 650/1054 loss=0.541092
  epoch 7 batch 700/1054 loss=0.540066
  epoch 7 batch 750/1054 loss=0.546255
  epoch 7 batch 800/1054 loss=0.545363
  epoch 7 batch 850/1054 loss=0.545628
  epoch 7 batch 900/1054 loss=0.546218
  epoch 7 batch 950/1054 loss=0.544733
  epoch 7 batch 1000/1054 loss=0.543687
  epoch 7 batch 1050/1054 loss=0.541897
Epoch 7 | train_loss=0.541519 val_mse=0.301843 val_mae=0.375108 (31.5s)
  EarlyStopping: 4/8
  epoch 8 batch 50/1054 loss=0.578182
  epoch 8 batch 100/1054 loss=0.559036
  epoch 8 batch 150/1054 loss=0.552245
  epoch 8 batch 200/1054 loss=0.542319
  epoch 8 batch 250/1054 loss=0.542724
  epoch 8 batch 300/1054 loss=0.544667
  epoch 8 batch 350/1054 loss=0.544629
  epoch 8 batch 400/1054 loss=0.545828
  epoch 8 batch 450/1054 loss=0.541379
  epoch 8 batch 500/1054 loss=0.541625
  epoch 8 batch 550/1054 loss=0.535015
  epoch 8 batch 600/1054 loss=0.536733
  epoch 8 batch 650/1054 loss=0.534886
  epoch 8 batch 700/1054 loss=0.536230
  epoch 8 batch 750/1054 loss=0.536115
  epoch 8 batch 800/1054 loss=0.534450
  epoch 8 batch 850/1054 loss=0.533302
  epoch 8 batch 900/1054 loss=0.531977
  epoch 8 batch 950/1054 loss=0.533808
  epoch 8 batch 1000/1054 loss=0.535089
  epoch 8 batch 1050/1054 loss=0.536120
Epoch 8 | train_loss=0.536227 val_mse=0.288266 val_mae=0.367017 (30.7s)
  EarlyStopping: 5/8
  epoch 9 batch 50/1054 loss=0.546758
  epoch 9 batch 100/1054 loss=0.523448
  epoch 9 batch 150/1054 loss=0.519787
  epoch 9 batch 200/1054 loss=0.532004
  epoch 9 batch 250/1054 loss=0.533311
  epoch 9 batch 300/1054 loss=0.532840
  epoch 9 batch 350/1054 loss=0.527397
  epoch 9 batch 400/1054 loss=0.533049
  epoch 9 batch 450/1054 loss=0.531290
  epoch 9 batch 500/1054 loss=0.532897
  epoch 9 batch 550/1054 loss=0.531664
  epoch 9 batch 600/1054 loss=0.530077
  epoch 9 batch 650/1054 loss=0.527392
  epoch 9 batch 700/1054 loss=0.525203
  epoch 9 batch 750/1054 loss=0.528700
  epoch 9 batch 800/1054 loss=0.529033
  epoch 9 batch 850/1054 loss=0.529472
  epoch 9 batch 900/1054 loss=0.530203
  epoch 9 batch 950/1054 loss=0.530705
  epoch 9 batch 1000/1054 loss=0.529491
  epoch 9 batch 1050/1054 loss=0.530787
Epoch 9 | train_loss=0.531052 val_mse=0.292091 val_mae=0.369475 (28.6s)
  EarlyStopping: 6/8
  epoch 10 batch 50/1054 loss=0.477259
  epoch 10 batch 100/1054 loss=0.505748
  epoch 10 batch 150/1054 loss=0.497781
  epoch 10 batch 200/1054 loss=0.503162
  epoch 10 batch 250/1054 loss=0.513875
  epoch 10 batch 300/1054 loss=0.511182
  epoch 10 batch 350/1054 loss=0.515920
  epoch 10 batch 400/1054 loss=0.513501
  epoch 10 batch 450/1054 loss=0.509175
  epoch 10 batch 500/1054 loss=0.513818
  epoch 10 batch 550/1054 loss=0.513862
  epoch 10 batch 600/1054 loss=0.515839
  epoch 10 batch 650/1054 loss=0.518083
  epoch 10 batch 700/1054 loss=0.517509
  epoch 10 batch 750/1054 loss=0.521221
  epoch 10 batch 800/1054 loss=0.521599
  epoch 10 batch 850/1054 loss=0.521790
  epoch 10 batch 900/1054 loss=0.522193
  epoch 10 batch 950/1054 loss=0.523093
  epoch 10 batch 1000/1054 loss=0.523108
  epoch 10 batch 1050/1054 loss=0.524496
Epoch 10 | train_loss=0.524727 val_mse=0.300095 val_mae=0.374124 (30.1s)
  EarlyStopping: 7/8
  epoch 11 batch 50/1054 loss=0.527957
  epoch 11 batch 100/1054 loss=0.533221
  epoch 11 batch 150/1054 loss=0.534836
  epoch 11 batch 200/1054 loss=0.540376
  epoch 11 batch 250/1054 loss=0.535212
  epoch 11 batch 300/1054 loss=0.532265
  epoch 11 batch 350/1054 loss=0.533931
  epoch 11 batch 400/1054 loss=0.535271
  epoch 11 batch 450/1054 loss=0.529982
  epoch 11 batch 500/1054 loss=0.527636
  epoch 11 batch 550/1054 loss=0.525729
  epoch 11 batch 600/1054 loss=0.525697
  epoch 11 batch 650/1054 loss=0.529248
  epoch 11 batch 700/1054 loss=0.526834
