============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: lstm
  type: rnn
  d_model: 128
  e_layers: 2
  dropout: 0.1
  revin: true
  affine: true
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 96
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36696 val=5175 test=10444
Built model: lstm | params=211,594
  epoch 5 batch 1100/1146 loss=0.407056
Epoch 5 | train_loss=0.408950 val_mse=0.401898 val_mae=0.274416 (8.0s)
  EarlyStopping: 2/3
  epoch 6 batch 50/1146 loss=0.344695
  epoch 6 batch 100/1146 loss=0.388624
  epoch 6 batch 150/1146 loss=0.396404
  epoch 6 batch 200/1146 loss=0.401181
  epoch 6 batch 250/1146 loss=0.404653
  epoch 6 batch 300/1146 loss=0.399460
  epoch 6 batch 350/1146 loss=0.400827
  epoch 6 batch 400/1146 loss=0.397797
  epoch 6 batch 450/1146 loss=0.395668
  epoch 6 batch 500/1146 loss=0.393181
  epoch 6 batch 550/1146 loss=0.393473
  epoch 6 batch 600/1146 loss=0.400802
  epoch 6 batch 650/1146 loss=0.400539
  epoch 6 batch 700/1146 loss=0.404007
  epoch 6 batch 750/1146 loss=0.403009
  epoch 6 batch 800/1146 loss=0.408876
  epoch 6 batch 850/1146 loss=0.406847
  epoch 6 batch 900/1146 loss=0.405358
  epoch 6 batch 950/1146 loss=0.404148
  epoch 6 batch 1000/1146 loss=0.404984
  epoch 6 batch 1050/1146 loss=0.403947
  epoch 6 batch 1100/1146 loss=0.403569
Epoch 6 | train_loss=0.406084 val_mse=0.399196 val_mae=0.270580 (8.2s)
  Validation improved to 0.399196; saved checkpoint.
  epoch 7 batch 50/1146 loss=0.409687
  epoch 7 batch 100/1146 loss=0.395903
  epoch 7 batch 150/1146 loss=0.399482
  epoch 7 batch 200/1146 loss=0.431097
  epoch 7 batch 250/1146 loss=0.421859
  epoch 7 batch 300/1146 loss=0.418612
  epoch 7 batch 350/1146 loss=0.414846
  epoch 7 batch 400/1146 loss=0.412264
  epoch 7 batch 450/1146 loss=0.412434
  epoch 7 batch 500/1146 loss=0.416620
  epoch 7 batch 550/1146 loss=0.420220
  epoch 7 batch 600/1146 loss=0.421337
  epoch 7 batch 650/1146 loss=0.419450
  epoch 7 batch 700/1146 loss=0.421189
  epoch 7 batch 750/1146 loss=0.418235
  epoch 7 batch 800/1146 loss=0.414501
  epoch 7 batch 850/1146 loss=0.414432
  epoch 7 batch 900/1146 loss=0.411703
  epoch 7 batch 950/1146 loss=0.411132
  epoch 7 batch 1000/1146 loss=0.409548
  epoch 7 batch 1050/1146 loss=0.408855
  epoch 7 batch 1100/1146 loss=0.406296
Epoch 7 | train_loss=0.404360 val_mse=0.399130 val_mae=0.270248 (8.1s)
  Validation improved to 0.399130; saved checkpoint.
  epoch 8 batch 50/1146 loss=0.374812
  epoch 8 batch 100/1146 loss=0.380088
  epoch 8 batch 150/1146 loss=0.372794
  epoch 8 batch 200/1146 loss=0.370524
  epoch 8 batch 250/1146 loss=0.377155
  epoch 8 batch 300/1146 loss=0.384144
  epoch 8 batch 350/1146 loss=0.392887
  epoch 8 batch 400/1146 loss=0.390090
  epoch 8 batch 450/1146 loss=0.392570
  epoch 8 batch 500/1146 loss=0.392362
  epoch 8 batch 550/1146 loss=0.393450
  epoch 8 batch 600/1146 loss=0.394521
  epoch 8 batch 650/1146 loss=0.398772
  epoch 8 batch 700/1146 loss=0.398815
  epoch 8 batch 750/1146 loss=0.396507
  epoch 8 batch 800/1146 loss=0.398759
  epoch 8 batch 850/1146 loss=0.399365
  epoch 8 batch 900/1146 loss=0.397970
  epoch 8 batch 950/1146 loss=0.399102
  epoch 8 batch 1000/1146 loss=0.400618
  epoch 8 batch 1050/1146 loss=0.399500
  epoch 8 batch 1100/1146 loss=0.400831
Epoch 8 | train_loss=0.403732 val_mse=0.399150 val_mae=0.270444 (8.5s)
  EarlyStopping: 1/3
  epoch 9 batch 50/1146 loss=0.410376
  epoch 9 batch 100/1146 loss=0.406063
  epoch 9 batch 150/1146 loss=0.392329
  epoch 9 batch 200/1146 loss=0.383718
  epoch 9 batch 250/1146 loss=0.380715
  epoch 9 batch 300/1146 loss=0.392421
  epoch 9 batch 350/1146 loss=0.396843
  epoch 9 batch 400/1146 loss=0.404508
  epoch 9 batch 450/1146 loss=0.400435
  epoch 9 batch 500/1146 loss=0.405795
  epoch 9 batch 550/1146 loss=0.407414
  epoch 9 batch 600/1146 loss=0.408778
  epoch 9 batch 650/1146 loss=0.408385
  epoch 9 batch 700/1146 loss=0.405614
  epoch 9 batch 750/1146 loss=0.403644
  epoch 9 batch 800/1146 loss=0.400170
  epoch 9 batch 850/1146 loss=0.403408
  epoch 9 batch 900/1146 loss=0.404582
  epoch 9 batch 950/1146 loss=0.403474
  epoch 9 batch 1000/1146 loss=0.404867
  epoch 9 batch 1050/1146 loss=0.405626
  epoch 9 batch 1100/1146 loss=0.403792
Epoch 9 | train_loss=0.403182 val_mse=0.398131 val_mae=0.269266 (8.5s)
  Validation improved to 0.398131; saved checkpoint.
  epoch 10 batch 50/1146 loss=0.366068
  epoch 10 batch 100/1146 loss=0.391381
  epoch 10 batch 150/1146 loss=0.395132
  epoch 10 batch 200/1146 loss=0.397122
  epoch 10 batch 250/1146 loss=0.391448
  epoch 10 batch 300/1146 loss=0.397365
  epoch 10 batch 350/1146 loss=0.388694
  epoch 10 batch 400/1146 loss=0.388370
  epoch 10 batch 450/1146 loss=0.392020
  epoch 10 batch 500/1146 loss=0.388667
  epoch 10 batch 550/1146 loss=0.391047
  epoch 10 batch 600/1146 loss=0.391575
  epoch 10 batch 650/1146 loss=0.405419
  epoch 10 batch 700/1146 loss=0.404426
  epoch 10 batch 750/1146 loss=0.406460
  epoch 10 batch 800/1146 loss=0.406663
  epoch 10 batch 850/1146 loss=0.402579
  epoch 10 batch 900/1146 loss=0.403479
  epoch 10 batch 950/1146 loss=0.400329
  epoch 10 batch 1000/1146 loss=0.400908
  epoch 10 batch 1050/1146 loss=0.402972
  epoch 10 batch 1100/1146 loss=0.404882
Epoch 10 | train_loss=0.402958 val_mse=0.398478 val_mae=0.270035 (7.9s)
  EarlyStopping: 1/3

Test | mse=0.165361 mae=0.210307 rmse=0.406647
