============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: metatsf_mlp
  type: mlp
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: mlp
    hidden_mult: 2
    dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 96
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.001
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: metatsf_tuned2

============================================================
Loaded data | train=36696 val=5175 test=10444
Built model: metatsf_mlp | params=160,504
  epoch 5 batch 950/1146 loss=0.393622
  epoch 5 batch 1000/1146 loss=0.396701
  epoch 5 batch 1050/1146 loss=0.397154
  epoch 5 batch 1100/1146 loss=0.395049
Epoch 5 | train_loss=0.394752 val_mse=0.390517 val_mae=0.268112 (15.6s)
  EarlyStopping: 2/8
  epoch 6 batch 50/1146 loss=0.352952
  epoch 6 batch 100/1146 loss=0.370676
  epoch 6 batch 150/1146 loss=0.376295
  epoch 6 batch 200/1146 loss=0.389010
  epoch 6 batch 250/1146 loss=0.385044
  epoch 6 batch 300/1146 loss=0.383019
  epoch 6 batch 350/1146 loss=0.387887
  epoch 6 batch 400/1146 loss=0.390414
  epoch 6 batch 450/1146 loss=0.397890
  epoch 6 batch 500/1146 loss=0.395133
  epoch 6 batch 550/1146 loss=0.398856
  epoch 6 batch 600/1146 loss=0.395122
  epoch 6 batch 650/1146 loss=0.394376
  epoch 6 batch 700/1146 loss=0.398604
  epoch 6 batch 750/1146 loss=0.398982
  epoch 6 batch 800/1146 loss=0.397187
  epoch 6 batch 850/1146 loss=0.395394
  epoch 6 batch 900/1146 loss=0.397605
  epoch 6 batch 950/1146 loss=0.396944
  epoch 6 batch 1000/1146 loss=0.397741
  epoch 6 batch 1050/1146 loss=0.395609
  epoch 6 batch 1100/1146 loss=0.394327
Epoch 6 | train_loss=0.392476 val_mse=0.398440 val_mae=0.274588 (16.2s)
  EarlyStopping: 3/8
  epoch 7 batch 50/1146 loss=0.413614
  epoch 7 batch 100/1146 loss=0.423759
  epoch 7 batch 150/1146 loss=0.414463
  epoch 7 batch 200/1146 loss=0.408281
  epoch 7 batch 250/1146 loss=0.397811
  epoch 7 batch 300/1146 loss=0.389708
  epoch 7 batch 350/1146 loss=0.391869
  epoch 7 batch 400/1146 loss=0.390000
  epoch 7 batch 450/1146 loss=0.392051
  epoch 7 batch 500/1146 loss=0.387778
  epoch 7 batch 550/1146 loss=0.392523
  epoch 7 batch 600/1146 loss=0.390615
  epoch 7 batch 650/1146 loss=0.394933
  epoch 7 batch 700/1146 loss=0.397528
  epoch 7 batch 750/1146 loss=0.397913
  epoch 7 batch 800/1146 loss=0.399024
  epoch 7 batch 850/1146 loss=0.396087
  epoch 7 batch 900/1146 loss=0.397183
  epoch 7 batch 950/1146 loss=0.395803
  epoch 7 batch 1000/1146 loss=0.394865
  epoch 7 batch 1050/1146 loss=0.395850
  epoch 7 batch 1100/1146 loss=0.392143
Epoch 7 | train_loss=0.390103 val_mse=0.393542 val_mae=0.270558 (17.0s)
  EarlyStopping: 4/8
  epoch 8 batch 50/1146 loss=0.392208
  epoch 8 batch 100/1146 loss=0.398238
  epoch 8 batch 150/1146 loss=0.394625
  epoch 8 batch 200/1146 loss=0.393897
  epoch 8 batch 250/1146 loss=0.387754
  epoch 8 batch 300/1146 loss=0.386915
  epoch 8 batch 350/1146 loss=0.380041
  epoch 8 batch 400/1146 loss=0.380772
  epoch 8 batch 450/1146 loss=0.380176
  epoch 8 batch 500/1146 loss=0.379880
  epoch 8 batch 550/1146 loss=0.379208
  epoch 8 batch 600/1146 loss=0.379222
  epoch 8 batch 650/1146 loss=0.381693
  epoch 8 batch 700/1146 loss=0.384632
  epoch 8 batch 750/1146 loss=0.383602
  epoch 8 batch 800/1146 loss=0.383706
  epoch 8 batch 850/1146 loss=0.384988
  epoch 8 batch 900/1146 loss=0.384493
  epoch 8 batch 950/1146 loss=0.386470
  epoch 8 batch 1000/1146 loss=0.385065
  epoch 8 batch 1050/1146 loss=0.387259
  epoch 8 batch 1100/1146 loss=0.387979
Epoch 8 | train_loss=0.388216 val_mse=0.390232 val_mae=0.269608 (16.6s)
  EarlyStopping: 5/8
  epoch 9 batch 50/1146 loss=0.374152
  epoch 9 batch 100/1146 loss=0.390242
  epoch 9 batch 150/1146 loss=0.370911
  epoch 9 batch 200/1146 loss=0.369945
  epoch 9 batch 250/1146 loss=0.362974
  epoch 9 batch 300/1146 loss=0.373676
  epoch 9 batch 350/1146 loss=0.368248
  epoch 9 batch 400/1146 loss=0.370528
  epoch 9 batch 450/1146 loss=0.369616
  epoch 9 batch 500/1146 loss=0.371734
  epoch 9 batch 550/1146 loss=0.377300
  epoch 9 batch 600/1146 loss=0.376598
  epoch 9 batch 650/1146 loss=0.375288
  epoch 9 batch 700/1146 loss=0.374105
  epoch 9 batch 750/1146 loss=0.372702
  epoch 9 batch 800/1146 loss=0.376958
  epoch 9 batch 850/1146 loss=0.381589
  epoch 9 batch 900/1146 loss=0.382404
  epoch 9 batch 950/1146 loss=0.384178
  epoch 9 batch 1000/1146 loss=0.384760
  epoch 9 batch 1050/1146 loss=0.384437
  epoch 9 batch 1100/1146 loss=0.386488
Epoch 9 | train_loss=0.387164 val_mse=0.383553 val_mae=0.263875 (14.7s)
  Validation improved to 0.383553; saved checkpoint.
  epoch 10 batch 50/1146 loss=0.405256
  epoch 10 batch 100/1146 loss=0.414896
  epoch 10 batch 150/1146 loss=0.403308
  epoch 10 batch 200/1146 loss=0.381361
  epoch 10 batch 250/1146 loss=0.376254
  epoch 10 batch 300/1146 loss=0.376039
  epoch 10 batch 350/1146 loss=0.373680
  epoch 10 batch 400/1146 loss=0.378273
  epoch 10 batch 450/1146 loss=0.380441
  epoch 10 batch 500/1146 loss=0.380485
  epoch 10 batch 550/1146 loss=0.378344
  epoch 10 batch 600/1146 loss=0.378568
  epoch 10 batch 650/1146 loss=0.380649
