============================================================
data:
  name: electricity
  root_path: data/electricity
  data_path: electricity.csv
  data_kind: custom
  features: M
  target: OT
  freq: h
  n_vars: 321
model:
  name: metatsf_vglg
  type: vglg
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: vglg
    kernel_size: 31
    rank: 8
    dropout: 0.1
    gate_hidden: 16
    gate_entropy_reg: 0.0
    gate_mode: learned
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 16
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.0001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: ablation_full

============================================================
Loaded data | train=17981 val=2297 test=4925
Built model: metatsf_vglg | params=910,074
  epoch 1 batch 50/1123 loss=0.906212
  epoch 1 batch 100/1123 loss=0.740907
  epoch 1 batch 150/1123 loss=0.630571
  epoch 1 batch 200/1123 loss=0.561120
  epoch 1 batch 250/1123 loss=0.513887
  epoch 1 batch 300/1123 loss=0.478455
  epoch 1 batch 350/1123 loss=0.452269
  epoch 1 batch 400/1123 loss=0.431958
  epoch 1 batch 450/1123 loss=0.415559
  epoch 1 batch 500/1123 loss=0.401511
  epoch 1 batch 550/1123 loss=0.389584
  epoch 1 batch 600/1123 loss=0.379093
  epoch 1 batch 650/1123 loss=0.370121
  epoch 1 batch 700/1123 loss=0.361999
  epoch 1 batch 750/1123 loss=0.354319
  epoch 1 batch 800/1123 loss=0.347961
  epoch 1 batch 850/1123 loss=0.341339
  epoch 1 batch 900/1123 loss=0.335884
  epoch 1 batch 950/1123 loss=0.330591
  epoch 1 batch 1000/1123 loss=0.325774
  epoch 1 batch 1050/1123 loss=0.321437
  epoch 1 batch 1100/1123 loss=0.317342
Epoch 1 | train_loss=0.315544 val_mse=0.202070 val_mae=0.296674 (20.6s)
  Validation improved to 0.202070; saved checkpoint.
  epoch 2 batch 50/1123 loss=0.226755
  epoch 2 batch 100/1123 loss=0.226597
  epoch 2 batch 150/1123 loss=0.226524
  epoch 2 batch 200/1123 loss=0.226151
  epoch 2 batch 250/1123 loss=0.225195
  epoch 2 batch 300/1123 loss=0.224942
  epoch 2 batch 350/1123 loss=0.224733
  epoch 2 batch 400/1123 loss=0.223957
  epoch 2 batch 450/1123 loss=0.223406
  epoch 2 batch 500/1123 loss=0.223002
  epoch 2 batch 550/1123 loss=0.222349
  epoch 2 batch 600/1123 loss=0.221879
  epoch 2 batch 650/1123 loss=0.221535
  epoch 2 batch 700/1123 loss=0.221102
  epoch 2 batch 750/1123 loss=0.220640
  epoch 2 batch 800/1123 loss=0.220234
  epoch 2 batch 850/1123 loss=0.220176
  epoch 2 batch 900/1123 loss=0.219621
  epoch 2 batch 950/1123 loss=0.219055
  epoch 2 batch 1000/1123 loss=0.218670
  epoch 2 batch 1050/1123 loss=0.218363
  epoch 2 batch 1100/1123 loss=0.217751
Epoch 2 | train_loss=0.217525 val_mse=0.185914 val_mae=0.282658 (19.3s)
  Validation improved to 0.185914; saved checkpoint.
  epoch 3 batch 50/1123 loss=0.208362
  epoch 3 batch 100/1123 loss=0.206974
  epoch 3 batch 150/1123 loss=0.206168
  epoch 3 batch 200/1123 loss=0.206312
  epoch 3 batch 250/1123 loss=0.206094
  epoch 3 batch 300/1123 loss=0.205969
  epoch 3 batch 350/1123 loss=0.204839
  epoch 3 batch 400/1123 loss=0.204486
  epoch 3 batch 450/1123 loss=0.203321
  epoch 3 batch 500/1123 loss=0.202620
  epoch 3 batch 550/1123 loss=0.201824
  epoch 3 batch 600/1123 loss=0.201377
  epoch 3 batch 650/1123 loss=0.201184
  epoch 3 batch 700/1123 loss=0.200542
  epoch 3 batch 750/1123 loss=0.199843
  epoch 3 batch 800/1123 loss=0.199356
  epoch 3 batch 850/1123 loss=0.198833
  epoch 3 batch 900/1123 loss=0.198292
  epoch 3 batch 950/1123 loss=0.197929
  epoch 3 batch 1000/1123 loss=0.197359
  epoch 3 batch 1050/1123 loss=0.197006
  epoch 3 batch 1100/1123 loss=0.196552
Epoch 3 | train_loss=0.196276 val_mse=0.182244 val_mae=0.279067 (20.1s)
  Validation improved to 0.182244; saved checkpoint.
  epoch 4 batch 50/1123 loss=0.184263
  epoch 4 batch 100/1123 loss=0.183998
  epoch 4 batch 150/1123 loss=0.183536
  epoch 4 batch 200/1123 loss=0.183629
  epoch 4 batch 250/1123 loss=0.183433
  epoch 4 batch 300/1123 loss=0.183213
  epoch 4 batch 350/1123 loss=0.183620
  epoch 4 batch 400/1123 loss=0.183540
  epoch 4 batch 450/1123 loss=0.183882
  epoch 4 batch 500/1123 loss=0.183823
  epoch 4 batch 550/1123 loss=0.183681
  epoch 4 batch 600/1123 loss=0.183520
  epoch 4 batch 650/1123 loss=0.183259
  epoch 4 batch 700/1123 loss=0.183155
  epoch 4 batch 750/1123 loss=0.182972
  epoch 4 batch 800/1123 loss=0.182806
  epoch 4 batch 850/1123 loss=0.182893
  epoch 4 batch 900/1123 loss=0.182760
  epoch 4 batch 950/1123 loss=0.182654
  epoch 4 batch 1000/1123 loss=0.182552
  epoch 4 batch 1050/1123 loss=0.182398
  epoch 4 batch 1100/1123 loss=0.182172
Epoch 4 | train_loss=0.182065 val_mse=0.181268 val_mae=0.277631 (20.1s)
  Validation improved to 0.181268; saved checkpoint.
  epoch 5 batch 50/1123 loss=0.177820
  epoch 5 batch 100/1123 loss=0.178843
  epoch 5 batch 150/1123 loss=0.179023
  epoch 5 batch 200/1123 loss=0.179435
  epoch 5 batch 250/1123 loss=0.179117
  epoch 5 batch 300/1123 loss=0.179326
  epoch 5 batch 350/1123 loss=0.179164
  epoch 5 batch 400/1123 loss=0.178785
  epoch 5 batch 450/1123 loss=0.178432
  epoch 5 batch 500/1123 loss=0.178138
  epoch 5 batch 550/1123 loss=0.178256
  epoch 5 batch 600/1123 loss=0.178176
  epoch 5 batch 650/1123 loss=0.178136
  epoch 5 batch 700/1123 loss=0.178033
  epoch 5 batch 750/1123 loss=0.177882
  epoch 5 batch 800/1123 loss=0.177726
  epoch 5 batch 850/1123 loss=0.177895
  epoch 5 batch 900/1123 loss=0.177715
  epoch 5 batch 950/1123 loss=0.177724
  epoch 5 batch 1000/1123 loss=0.177677
  epoch 5 batch 1050/1123 loss=0.177494
  epoch 5 batch 1100/1123 loss=0.177263
Epoch 5 | train_loss=0.177149 val_mse=0.182216 val_mae=0.278445 (20.0s)
  EarlyStopping: 1/3
  epoch 6 batch 50/1123 loss=0.173621
  epoch 6 batch 100/1123 loss=0.174155
  epoch 6 batch 150/1123 loss=0.174545
  epoch 6 batch 200/1123 loss=0.175230
  epoch 6 batch 250/1123 loss=0.174616
  epoch 6 batch 300/1123 loss=0.174698
  epoch 6 batch 350/1123 loss=0.174758
  epoch 6 batch 400/1123 loss=0.174829
  epoch 6 batch 450/1123 loss=0.175036
  epoch 6 batch 500/1123 loss=0.175204
  epoch 6 batch 550/1123 loss=0.175097
  epoch 6 batch 600/1123 loss=0.175013
  epoch 6 batch 650/1123 loss=0.175123
  epoch 6 batch 700/1123 loss=0.175022
  epoch 6 batch 750/1123 loss=0.175063
  epoch 6 batch 800/1123 loss=0.175121
  epoch 6 batch 850/1123 loss=0.175113
  epoch 6 batch 900/1123 loss=0.175128
  epoch 6 batch 950/1123 loss=0.175053
  epoch 6 batch 1000/1123 loss=0.175068
  epoch 6 batch 1050/1123 loss=0.174980
  epoch 6 batch 1100/1123 loss=0.175094
Epoch 6 | train_loss=0.175047 val_mse=0.181990 val_mae=0.278297 (20.0s)
  EarlyStopping: 2/3
  epoch 7 batch 50/1123 loss=0.170360
  epoch 7 batch 100/1123 loss=0.172932
  epoch 7 batch 150/1123 loss=0.173107
  epoch 7 batch 200/1123 loss=0.173519
  epoch 7 batch 250/1123 loss=0.173617
  epoch 7 batch 300/1123 loss=0.173594
  epoch 7 batch 350/1123 loss=0.173444
  epoch 7 batch 400/1123 loss=0.173504
  epoch 7 batch 450/1123 loss=0.173514
  epoch 7 batch 500/1123 loss=0.173616
  epoch 7 batch 550/1123 loss=0.173737
  epoch 7 batch 600/1123 loss=0.173970
  epoch 7 batch 650/1123 loss=0.173915
  epoch 7 batch 700/1123 loss=0.173936
  epoch 7 batch 750/1123 loss=0.173879
  epoch 7 batch 800/1123 loss=0.173919
  epoch 7 batch 850/1123 loss=0.174158
  epoch 7 batch 900/1123 loss=0.174228
  epoch 7 batch 950/1123 loss=0.174298
  epoch 7 batch 1000/1123 loss=0.174244
  epoch 7 batch 1050/1123 loss=0.174144
  epoch 7 batch 1100/1123 loss=0.174025
Epoch 7 | train_loss=0.174053 val_mse=0.181686 val_mae=0.277850 (19.4s)
  EarlyStopping: 3/3
Early stopping at epoch 7.

Test | mse=0.205374 mae=0.303651 rmse=0.453182
